subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
44200000;50292540392;193890;Philippines;Entertainment;176629000;706500;1
43700000;12884264778;8;Thailand;Film;22;0;0
43600000;4831311245;6;nan;People;4;0;0
43500000;27568757295;326;Colombia;Howto;353412000;1400000;1
43200000;36458726976;1478;Russia;Education;303780000;1200000;1
43200000;37939780685;109871;Pakistan;Entertainment;1149000000;4600000;1
42500000;26820902622;10938;India;Music;159757000;639000;1
42400000;24519022988;1218;United States;Film;670459000;2700000;1
42400000;19547696190;618;United States;Entertainment;53202000;212800;0
41900000;22477745835;84;Barbados;Music;182926000;731700;1
41400000;17608931161;4510;India;Music;180942000;723800;1
41300000;5603111948;291;Mexico;People;136745000;547000;0
40900000;39450824833;2423;United States;Education;98775000;395100;0
40600000;8670473639;0;Mexico;Comedy;0;0;0
40400000;7410536668;703;nan;Entertainment;5773000;23100;0
40300000;47005053156;4;nan;People;5;0;0
39700000;23884824160;1596;United Arab Emirates;People;247731000;990900;1
39400000;22302547082;1;nan;Games;2;0;0
39200000;3294013141;186;India;Comedy;78688000;314800;0
39200000;10507474316;133;United States;Music;58362000;233400;0
39200000;44900897958;744;Canada;Education;560756000;2200000;1
39100000;16118181673;1876;Spain;Games;264108000;1100000;1
39000000;36131228583;72580;Thailand;Entertainment;130461000;521800;0
38900000;25154232306;3043;Brazil;Music;1635000000;6500000;1
38600000;7339333120;200933;United States;Nonprofit;45638000;182600;0
38400000;21528116909;982;Saudi Arabia;Games;1589000;6400;0
38300000;16718192386;3532;India;Music;814756000;3300000;1
38200000;13598903820;11;United States;Music;6348;25;0
38200000;22756581750;15672;United States;Entertainment;21804000;87200;0
38200000;28519339489;24089;India;Entertainment;415914000;1700000;1
38000000;22731415608;505;United States;Music;205594000;822400;1
37900000;23510152352;515;United States;Entertainment;244093000;976400;1
37600000;18208196857;743;United States;Entertainment;321026000;1300000;1
37500000;27262462114;117152;Thailand;Entertainment;140754000;563000;0
37200000;16402066717;220;India;Comedy;49861000;199400;0
37000000;13102611515;301308;India;News;267060000;1100000;1
37000000;24188861917;744;Brazil;Entertainment;251449000;1000000;1
36700000;19378155425;99;United States;Music;175243000;701000;1
36600000;22553923546;171;United States;Music;152825000;611300;1
36600000;15653786446;9168;India;Entertainment;131462000;0;0
36500000;18961241905;5621;nan;Film;318702000;1300000;1
36300000;3010784935;744;United States;Entertainment;21103000;84400;0
36200000;23355801606;196;nan;Music;169242000;677000;1
36100000;6331332547;5;nan;Comedy;32;0;0
35700000;27118354077;654;Argentina;Music;302071000;1200000;1
35500000;15657673422;7566;India;Music;533793000;2100000;1
35500000;16105023749;273255;India;News;290847000;1200000;1
35400000;22637783517;2010;India;Music;331474000;1300000;1
35400000;5556364230;1;nan;Autos;53;0;0
35200000;20297931219;5490;United States;Games;127329000;509300;0
35200000;55299840198;2453;United States;Entertainment;238613000;954500;1
34900000;25607397308;617;United States;Film;335307000;1300000;1
34600000;21306315429;0;Global;News;0;0;0
34400000;9690499664;1;nan;Games;86;0;0
34300000;12746535822;679;India;Music;101357000;405400;0
34100000;23005313609;141;Colombia;Music;128696000;514800;0
34000000;3963007415;2284;Indonesia;Entertainment;547141000;2200000;1
34000000;11351015824;240;India;Film;179903000;719600;1
33800000;15432929204;7606;Spain;Games;39094000;156400;0
33800000;27274550757;66;Brazil;Film;403508000;1600000;1
33700000;23492684419;3366;United States;Entertainment;210955000;843800;1
33700000;10189027455;2;Global;Music;0;0;0
33600000;13013567335;188;United States;Music;115792000;463200;0
33500000;14864294792;3741;India;Entertainment;272255000;1100000;1
33500000;29611914495;96214;Thailand;Entertainment;61307000;0;0
33500000;11405809704;217;India;Comedy;24736000;98900;0
33400000;10530729078;1331;United Kingdom;Music;55654000;222600;0
33400000;20269857567;338;India;Education;136084000;544300;0
33300000;5994136760;2736;Indonesia;Entertainment;157101000;628400;1
32800000;26355088167;2122;United States;Education;127498000;510000;0
32700000;17853798780;1521;India;Entertainment;20263000;81100;0
32700000;19180039918;2738;Turkey;Games;1463000000;5900000;1
32700000;28516250629;2068;United States;Music;329861000;1300000;1
32600000;23379969006;169;Canada;Music;373828000;1500000;1
32200000;16613441479;2;Global;Entertainment;1;0;0
32100000;18699145555;134;Colombia;Music;465647000;1900000;1
32100000;10602236110;3091;United Kingdom;Comedy;56534000;226100;0
32100000;13061739758;11882;Brazil;Entertainment;44505000;178000;0
32000000;26800674545;44892;India;Entertainment;1667000000;6700000;1
31900000;27330239663;4158;nan;Music;233402000;933600;1
31900000;19428308461;93311;Philippines;Entertainment;798510000;3200000;1
31800000;6762424690;6734;Mexico;Howto;31455000;125800;0
31700000;5711208484;929;India;Tech;109125000;436500;0
31700000;16476978876;6518;India;Music;112648000;450600;0
31700000;21031745531;166;United States;Entertainment;153280000;613100;1
31700000;2930015381;116;United States;Games;27022000;108100;0
31600000;11615848291;1321;United States;Entertainment;312099000;1200000;1
31600000;26583873105;204;United States;Music;105126000;420500;0
31400000;15176762479;0;Global;Entertainment;0;0;0
31400000;22919271731;3589;United Kingdom;Education;244925000;979700;1
31200000;9673649438;65;Venezuela;Comedy;3589;14;0
31200000;17111726160;8976;United States;Comedy;22511000;0;0
31200000;6187804950;3027;Argentina;Games;190679000;762700;1
30700000;16793072362;92;United States;Music;188837000;755300;1
30700000;12355992466;578;United States;Entertainment;102998000;412000;0
30700000;3145161634;67;India;Entertainment;31822000;127300;0
30500000;16709857823;180092;India;News;461472000;1800000;1
30500000;4521573939;641;Kuwait;Entertainment;157908000;631600;1
30400000;4332274962;2197;Indonesia;Entertainment;21440000;85800;0
30400000;14037426379;2725;United States;Music;45822000;183300;0
30400000;17999961915;532;United States;Entertainment;122926000;491700;0
30300000;13546549817;223;United States;Entertainment;22724000;90900;0
30200000;14199108016;15;United Kingdom;Music;137099000;548400;0
30200000;15199330166;2;United States;Entertainment;0;0;0
30200000;27684955537;3254;Jordan;Music;116434000;465700;0
30100000;7277493940;0;Global;Entertainment;0;0;0
30100000;19607009165;11501;Netherlands;Music;100040000;400200;0
30100000;22593193994;1349;United States;Education;107525000;430100;0
30100000;16246625836;5114;nan;Games;40425000;161700;0
30000000;12831200855;133;Canada;Music;88749000;355000;0
29800000;4457913639;151;India;Comedy;26171000;104700;0
29600000;17208027242;4903;United States;Music;81884000;327500;0
29300000;21226945136;14;Argentina;People;15;0;0
29200000;14727238483;1513;United States;Entertainment;180519000;0;0
29200000;11627437847;3654;Brazil;Games;303100000;1200000;1
29200000;4079141673;404;Spain;Comedy;12143000;48600;0
29000000;19466238065;42;nan;Entertainment;60805;243;0
28900000;17930570614;555;India;Education;109828000;439300;0
28500000;25857994495;0;Global;Music;0;0;0
28400000;9956764048;5809;United States;Entertainment;26435000;105700;0
28400000;10062770060;5436;India;Film;227355000;909400;1
28300000;13577142726;6;nan;Entertainment;2;0;0
28300000;14814192034;505;India;Education;288110000;1200000;1
28300000;23844936965;106983;Pakistan;Entertainment;684860000;2700000;1
28200000;7600740993;3009;India;Film;184966000;739900;1
28200000;14412474625;15;United States;Music;158591000;634400;1
28100000;15318895118;3;nan;Film;31;0;0
28000000;8603468420;3878;nan;Film;129211000;516800;0
27800000;2303069221;0;Singapore;Entertainment;0;0;0
27800000;21037851468;292;Australia;Music;127441000;509800;0
27700000;15777682516;619;Colombia;Music;173836000;695300;1
27500000;4552581106;27;United States;Music;649;0;0
27500000;13379395501;682;United States;Music;90450000;361800;0
27400000;19883150017;1753;South Korea;Music;307631000;1200000;1
27400000;10336420490;642;United States;Entertainment;175844000;703400;1
27400000;19417887510;3664;United Kingdom;Games;78668000;314700;0
27300000;22440611155;5438;United States;Entertainment;42546000;170200;0
27300000;7705492350;1259;India;Tech;102235000;408900;0
27100000;15916882228;2;nan;People;14;0;0
27100000;17318452893;889;India;Entertainment;429692000;1700000;1
27100000;12732444881;545;nan;Howto;502779000;2000000;1
27000000;6570935979;554;United States;Entertainment;144453000;577800;0
26900000;7938616641;3956;Brazil;Entertainment;82912000;331600;0
26700000;4388047013;241;United States;Entertainment;276187000;1100000;1
26700000;10317306313;975;Colombia;Comedy;24363000;97500;0
26700000;7173668905;6471;United States;Entertainment;118226000;472900;0
